"","m","n"
"1",1,"A"
"2",2,"A"
"3",3,"A"
"4",4,"A"
"5",5,"A"
"6",6,"A"
"7",7,"A"
"8",8,"A"
"9",9,"A"
"10",10,"A"
"11",11,"A"
"12",12,"A"
"13",13,"A"
"14",14,"A"
"15",15,"A"
"16",16,"A"
"17",17,"A"
"18",18,"A"
"19",19,"A"
"20",20,"A"
"21",21,"A"
"22",22,"A"
"23",23,"A"
"24",24,"A"
"25",25,"A"
"26",26,"A"
"27",27,"A"
"28",28,"A"
"29",29,"A"
"30",30,"A"
"31",31,"B"
"32",32,"B"
"33",33,"B"
"34",34,"B"
"35",35,"B"
"36",36,"B"
"37",37,"B"
"38",38,"B"
"39",39,"B"
"40",40,"B"
"41",41,"B"
"42",42,"B"
"43",43,"B"
"44",44,"B"
"45",45,"B"
"46",46,"B"
"47",47,"B"
"48",48,"B"
"49",49,"B"
"50",50,"B"
"51",51,"B"
"52",52,"B"
"53",53,"B"
"54",54,"B"
"55",55,"B"
"56",56,"B"
"57",57,"B"
"58",58,"B"
"59",59,"B"
"60",60,"B"
"61",61,"C"
"62",62,"C"
"63",63,"C"
"64",64,"C"
"65",65,"C"
"66",66,"C"
"67",67,"C"
"68",68,"C"
"69",69,"C"
"70",70,"C"
"71",71,"C"
"72",72,"C"
"73",73,"C"
"74",74,"C"
"75",75,"C"
"76",76,"C"
"77",77,"C"
"78",78,"C"
"79",79,"C"
"80",80,"C"
"81",81,"C"
"82",82,"C"
"83",83,"C"
"84",84,"C"
"85",85,"C"
"86",86,"C"
"87",87,"C"
"88",88,"C"
"89",89,"C"
"90",90,"C"
